标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价,文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17
迈腾GTE 2022款 尊贵型,大众,https://www.dongchedi.com/usedcar/16287689,石家庄,2022年 , 5.65万公里,2,25.29万,11.38万,迈腾GTE 2022款 尊贵型,石家庄,2022年9月,自动,25.29万,一汽-大众,中型车,插电式混合动力,1.4T 150马力 L4 插电式混动,63,,6挡双离合,4865x1832x1469,200,1.7,1395,插电式混动 116马力,85
小蚂蚁 2023款 真爱Plus 三元锂 28.86kWh 301km,奇瑞新能源,https://www.dongchedi.com/usedcar/17497713,呼和浩特,2023年 , 0.89万公里,0,7.80万,4.18万,小蚂蚁 2023款 真爱Plus 三元锂 28.86kWh 301km,呼和浩特,2023年9月,自动,7.7999万,奇瑞新能源,微型车,纯电动,纯电动 41马力,301,快充0.67小时 慢充9小时,电动车单速变速箱,3200x1670x1550,100,1.1,永磁/同步,三元锂电池,28.86
ZEEKR 001 2022款 超长续航单电机 WE版,极氪,https://www.dongchedi.com/usedcar/16099173,石家庄,2023年 , 3.63万公里,0,29.90万,15.98万,ZEEKR 001 2022款 超长续航单电机 WE版,石家庄,2023年2月,自动,29.9万,极氪,中大型车,纯电动,纯电动 272马力,732,,电动车单速变速箱,4970x1999x1560,200,4年或10万公里,永磁/同步,三元锂电池,首任车主不限年限/里程（责任免除条款以官方为准）
宋Pro DM 2022款 DM-i 51km 豪华型,比亚迪,https://www.dongchedi.com/usedcar/16382745,石家庄,2023年 , 3.26万公里,0,14.08万,7.58万,宋Pro DM 2022款 DM-i 51km 豪华型,石家庄,2023年2月,自动,14.08万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,51,慢充2.5小时,135,316,4650x1860x1700,1.5,1498,插电式混动 180马力,132
AION Y 2022款 PLUS 70科技版,埃安,https://www.dongchedi.com/usedcar/16171134,佛山,2022年 , 2万公里,0,15.98万,8.58万,AION Y 2022款 PLUS 70科技版,佛山,2022年12月,自动,15.98万,广汽埃安新能源,紧凑型SUV,纯电动,纯电动 204马力,510,510,225,电动车单速变速箱,5门5座SUV,1.55,永磁/同步,磷酸铁锂电池,"时代广汽,亿纬动力"
宝马i3 2023款 eDrive 40 L 曜夜套装,宝马,https://www.dongchedi.com/usedcar/18389883,合肥,2025年 , 0.11万公里,0,38.39万,19.20万,宝马i3 2023款 eDrive 40 L 曜夜套装,合肥,2025年1月,自动,38.39万,华晨宝马,中型车,纯电动,纯电动 340马力,592,592,430,电动车单速变速箱,4门5座三厢车,1.59,励磁/同步,三元锂电池,8年或16万公里
缤越PHEV 2020款 ePro Super,吉利汽车,https://www.dongchedi.com/usedcar/17121421,佛山,2021年 , 0.99万公里,0,12.98万,5.98万,缤越PHEV 2020款 ePro Super,佛山,2021年10月,自动,12.98万,吉利汽车,小型SUV,插电式混合动力,1.5T 177马力 L3 插电式混动,62,慢充1.5小时,7挡双离合,4330x1800x1609,210,4年或10万公里,1477,插电式混动 82马力,60
腾势N7 2023款 长续航性能Max版,腾势,https://www.dongchedi.com/usedcar/17099692,南宁,2023年 , 0.89万公里,0,34.98万,17.58万,腾势N7 2023款 长续航性能Max版,南宁,2023年7月,自动,34.98万,腾势汽车,中型SUV,纯电动,纯电动 530马力,630,630,670,电动车单速变速箱,5门5座SUV,6年或15万公里,前交流/异步后永磁/同步,磷酸铁锂电池,比亚迪
零跑T03 2022款 星钻版,零跑汽车,https://www.dongchedi.com/usedcar/18401258,西安,2022年 , 4.80万公里,0,9.95万,4.60万,零跑T03 2022款 星钻版,西安,2022年5月,自动,9.95万,零跑汽车,微型车,纯电动,纯电动 109马力,403,快充0.6小时 慢充3.5小时,电动车单速变速箱,3620x1652x1592,100,1.2,永磁/同步,磷酸铁锂电池,8年或15万公里
Model Y 2022款 后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/17432434,贵阳,2022年 , 3.74万公里,2,31.69万,17.28万,Model Y 2022款 后轮驱动版,贵阳,2022年6月,自动,31.69万,特斯拉中国,中型SUV,纯电动,纯电动 264马力,545,快充1小时 慢充10小时,电动车单速变速箱,4750x1921x1624,217,1655.0元,永磁/同步,磷酸铁锂电池,8年或16万公里
小鹏G3 2021款 G3i 460N,小鹏汽车,https://www.dongchedi.com/usedcar/17311211,洛阳,2022年 , 4.14万公里,0,18.89万,7.98万,小鹏G3 2021款 G3i 460N,洛阳,2022年1月,自动,18.89万,小鹏汽车,紧凑型SUV,纯电动,纯电动 197马力,460,快充0.58小时 慢充4.3小时,电动车单速变速箱,4495x1820x1610,170,5109.0元,永磁/同步,三元锂电池,8年或15万公里
五菱宏光MINIEV 2022款 悦享款 三元锂,五菱汽车,https://www.dongchedi.com/usedcar/18172290,兰州,2022年 , 2.83万公里,0,4.48万,2.46万,五菱宏光MINIEV 2022款 悦享款 三元锂,兰州,2022年12月,自动,4.48万,上汽通用五菱,微型车,纯电动,纯电动 27马力,170,170,85,电动车单速变速箱,3门4座两厢车,1.1,永磁/同步,三元锂电池,8年或12万公里
欧拉好猫 2023款 401km标准续航 豪华型 磷酸铁锂,欧拉,https://www.dongchedi.com/usedcar/16469683,石家庄,2024年 , 0.60万公里,0,13.98万,7.68万,欧拉好猫 2023款 401km标准续航 豪华型 磷酸铁锂,石家庄,2024年1月,自动,13.98万,长城汽车,小型车,纯电动,纯电动 143马力,401,快充0.5小时 慢充8小时,电动车单速变速箱,4235x1825x1596,150,1.47,永磁/同步,磷酸铁锂电池,首任车主不限年限/里程(责任免除条款以官方为准)
宋PLUS DM 2021款 DM-i 110KM 两驱旗舰 PLUS,比亚迪,https://www.dongchedi.com/usedcar/18470635,郑州,2023年 , 3.80万公里,0,17.78万,9.78万,宋PLUS DM 2021款 DM-i 110KM 两驱旗舰 PLUS,郑州,2023年2月,自动,17.78万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,85,110,81(110Ps),145(197Ps),325,170,1498,插电式混动 197马力,145
五菱宏光MINIEV 2021款 马卡龙臻享款 磷酸铁锂,五菱汽车,https://www.dongchedi.com/usedcar/17520708,沈阳,2021年 , 2.96万公里,1,4.36万,2.22万,五菱宏光MINIEV 2021款 马卡龙臻享款 磷酸铁锂,沈阳,2021年9月,自动,4.36万,上汽通用五菱,微型车,纯电动,纯电动 27马力,170,慢充9小时,电动车单速变速箱,2920x1493x1621,100,1902.0元,永磁/同步,磷酸铁锂电池,13.9
零跑T03 2021款 400网约版,零跑汽车,https://www.dongchedi.com/usedcar/17011307,石家庄,2021年 , 5.25万公里,1,9.98万,4.28万,零跑T03 2021款 400网约版,石家庄,2021年7月,自动,9.98万,零跑汽车,微型车,纯电动,纯电动 75马力,403,快充0.6小时 慢充3.5小时,电动车单速变速箱,3620x1652x1592,100,324.0元,永磁/同步,磷酸铁锂电池,41
长安UNI-K 智电iDD 2022款 蓝鲸iDD 1.5T 130km卓越型 ,长安,https://www.dongchedi.com/usedcar/18067873,昆明,2022年 , 3.04万公里,0,18.29万,9.38万,长安UNI-K 智电iDD 2022款 蓝鲸iDD 1.5T 130km卓越型 ,昆明,2022年4月,自动,18.29万,长安汽车,中型SUV,插电式混合动力,1.5T 170马力 L4 插电式混动,130,130,125(170Ps),85(116Ps),330,200,1494,插电式混动 116马力,85
奥迪Q4 e-tron 2023款 40 e-tron 创境版,奥迪,https://www.dongchedi.com/usedcar/17960721,西安,2023年 , 1.05万公里,0,31.71万,14.98万,奥迪Q4 e-tron 2023款 40 e-tron 创境版,西安,2023年12月,自动,31.71万,一汽奥迪,紧凑型SUV,纯电动,纯电动 204马力,605,605,310,电动车单速变速箱,5门5座SUV,14.4,永磁/同步,三元锂电池,84.8
五菱宏光MINIEV 2022款 GAMEBOY 300km 玩咖款 磷酸铁锂,五菱汽车,https://www.dongchedi.com/usedcar/17932305,佛山,2023年 , 2.27万公里,0,6.98万,3.86万,五菱宏光MINIEV 2022款 GAMEBOY 300km 玩咖款 磷酸铁锂,佛山,2023年2月,自动,6.98万,上汽通用五菱,微型车,纯电动,纯电动 41马力,300,慢充8.5小时,电动车单速变速箱,3061x1520x1659,100,3年或10万公里,永磁/同步,磷酸铁锂电池,8年或12万公里
宋PLUS EV 2021款 尊贵型,比亚迪,https://www.dongchedi.com/usedcar/17664016,杭州,2023年 , 2.90万公里,0,18.68万,10.36万,宋PLUS EV 2021款 尊贵型,杭州,2023年3月,自动,18.68万,比亚迪,紧凑型SUV,纯电动,纯电动 184马力,505,快充0.5小时 慢充10.2小时,电动车单速变速箱,4705x1890x1680,160,1.6,永磁/同步,磷酸铁锂电池,比亚迪
昊铂GT 2023款 560 后驱七翼版 三元锂,昊铂,https://www.dongchedi.com/usedcar/17114074,苏州,2023年 , 1.91万公里,0,24.59万,11.58万,昊铂GT 2023款 560 后驱七翼版 三元锂,苏州,2023年8月,自动,24.59万,广汽埃安新能源,中大型车,纯电动,纯电动 245马力,560,560,355,电动车单速变速箱,4门5座三厢车,1.35,永磁/同步,三元锂电池,亿纬动力
护卫舰07 2023款 DM-i 100KM 旗舰型,比亚迪,https://www.dongchedi.com/usedcar/16848893,郑州,2023年 , 0.18万公里,0,22.88万,12.68万,护卫舰07 2023款 DM-i 100KM 旗舰型,郑州,2023年8月,自动,22.88万,比亚迪,中型SUV,插电式混合动力,1.5T 139马力 L4 插电式混动,82,100,30-80,102(139Ps),231,5门5座SUV,1497,插电式混动 197马力,145
奔驰EQE 2022款 EQE 350 豪华版,奔驰,https://www.dongchedi.com/usedcar/16611449,广州,2023年 , 1.30万公里,0,49.60万,23.38万,奔驰EQE 2022款 EQE 350 豪华版,广州,2023年10月,自动,49.6万,北京奔驰,中大型车,纯电动,纯电动 292马力,717,717,556,电动车单速变速箱,4门5座三厢车,1.63,永磁/同步,三元锂电池,10年或25万公里
汉EV 2022款 创世版 715KM尊荣型,比亚迪,https://www.dongchedi.com/usedcar/16973424,石家庄,2022年 , 4.28万公里,1,27.18万,12.88万,汉EV 2022款 创世版 715KM尊荣型,石家庄,2022年8月,自动,27.18万,比亚迪,中大型车,纯电动,纯电动 245马力,715,快充0.5小时 慢充12.2小时,电动车单速变速箱,4995x1910x1495,185,6年或15万公里,永磁/交流/同步,磷酸铁锂电池,比亚迪
欧拉黑猫 2022款 301km 基础型 三元锂,欧拉,https://www.dongchedi.com/usedcar/16886702,郑州,2021年 , 4.97万公里,0,8.48万,3.68万,欧拉黑猫 2022款 301km 基础型 三元锂,郑州,2021年12月,自动,8.48万,长城汽车,微型车,纯电动,纯电动 48马力,301,快充0.5小时 慢充9小时,电动车单速变速箱,3495x1660x1560,102,3年或12万公里,永磁/同步,三元锂电池,28.5
元EV 2019款 EV535 高能领航版,比亚迪,https://www.dongchedi.com/usedcar/16794203,大同,2020年 , 3.83万公里,1,13.99万,5.48万,元EV 2019款 EV535 高能领航版,大同,2020年3月,自动,13.99万,比亚迪,小型SUV,纯电动,纯电动 163马力,410,快充0.5小时 慢充9小时,电动车单速变速箱,4360x1785x1680,,442.0元,永磁/同步,三元锂电池,53.22
宋Pro DM 2023款 DM-i 冠军版 110km 卓越型,比亚迪,https://www.dongchedi.com/usedcar/18347950,深圳,2023年 , 1.93万公里,0,15.98万,8.30万,宋Pro DM 2023款 DM-i 冠军版 110km 卓越型,深圳,2023年5月,自动,15.98万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,85,110,快充1小时 慢充5.5小时,,145(197Ps),4738x1860x1710,1498,插电式混动 197马力,145
领克06 EM-P 2021款 84KM续航版 Pro,领克,https://www.dongchedi.com/usedcar/17160095,呼和浩特,2023年 , 0.88万公里,0,16.78万,9.38万,领克06 EM-P 2021款 84KM续航版 Pro,呼和浩特,2023年5月,自动,16.78万,领克,小型SUV,插电式混合动力,1.5T 177马力 L3 插电式混动,84,慢充2.5小时,7挡双离合,4340x1820x1625,200,4年或10万公里,1477,插电式混动 82马力,60
宋Pro DM 2023款 DM-i 冠军版 110km 卓越型,比亚迪,https://www.dongchedi.com/usedcar/18438525,长沙,2024年 , 0.76万公里,0,15.98万,8.98万,宋Pro DM 2023款 DM-i 冠军版 110km 卓越型,长沙,2024年7月,自动,15.98万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,85,110,快充1小时 慢充5.5小时,,145(197Ps),4738x1860x1710,1498,插电式混动 197马力,145
五菱宏光MINIEV 2022款 轻松款 三元锂,五菱汽车,https://www.dongchedi.com/usedcar/18266929,长沙,2023年 , 0.81万公里,0,3.28万,1.98万,五菱宏光MINIEV 2022款 轻松款 三元锂,长沙,2023年2月,自动,3.28万,上汽通用五菱,微型车,纯电动,纯电动 27马力,120,120,85,电动车单速变速箱,3门4座两厢车,1,永磁/同步,三元锂电池,8年或12万公里
大众ID.3 2024款 出众版,大众,https://www.dongchedi.com/usedcar/18382149,郑州,2024年 , 1.61万公里,0,17.14万,8.96万,大众ID.3 2024款 出众版,郑州,2024年2月,自动,17.1388万,上汽大众,紧凑型车,纯电动,纯电动 170马力,450,450,310,电动车单速变速箱,5门5座两厢车,13.1,永磁/同步,三元锂电池,8年或16万公里
理想ONE 2020款 增程6座版,理想汽车,https://www.dongchedi.com/usedcar/17835753,淄博,2021年 , 11.60万公里,1,32.80万,13.15万,理想ONE 2020款 增程6座版,淄博,2021年3月,自动,32.8万,理想汽车,中大型SUV,增程式,增程式 326马力,180,快充0.5小时 慢充6小时,电动车单速变速箱,5020x1960x1760,172,9038.0元,1199,增程式 326马力,240
哪吒GT 2023款 660版,哪吒汽车,https://www.dongchedi.com/usedcar/16297392,石家庄,2023年 , 0.80万公里,0,20.68万,11.68万,哪吒GT 2023款 660版,石家庄,2023年9月,自动,20.68万,合众汽车,跑车,纯电动,纯电动 231马力,660,660,310,电动车单速变速箱,2门4座硬顶跑车,4年或12万公里,永磁/同步,三元锂电池,74.48
瑞虎3xe 2018款 400 畅行版,奇瑞新能源,https://www.dongchedi.com/usedcar/18321243,青岛,2018年 , 7.69万公里,1,16.38万,3.20万,瑞虎3xe 2018款 400 畅行版,青岛,2018年9月,自动,16.38万,奇瑞新能源,小型SUV,纯电动,纯电动 122马力,351,快充0.5小时 慢充8小时,电动车单速变速箱,4200x1760x1570,151,408.0元,永磁/同步,三元锂电池,49
海豚 2021款 时尚版,比亚迪,https://www.dongchedi.com/usedcar/17497308,佛山,2022年 , 1.80万公里,1,11.78万,6.68万,海豚 2021款 时尚版,佛山,2022年10月,自动,11.78万,比亚迪,小型车,纯电动,纯电动 95马力,405,快充0.5小时 慢充6.41小时,电动车单速变速箱,4125x1770x1570,150,1.2,永磁/同步,磷酸铁锂电池,比亚迪
帝豪L HiP 2022款 1.5TD-DHT Pro 100KM Super 净,吉利汽车,https://www.dongchedi.com/usedcar/14254478,中山,2023年 , 2.83万公里,0,12.98万,5.78万,帝豪L HiP 2022款 1.5TD-DHT Pro 100KM Super 净,中山,2023年9月,自动,12.98万,吉利汽车,紧凑型车,插电式混合动力,1.5T 181马力 L4 插电式混动,80,100,,233,3挡DHT,6.9,1499,插电式混动 136马力,100
宋PLUS EV 2021款 旗舰型,比亚迪,https://www.dongchedi.com/usedcar/18354953,深圳,2021年 , 6.21万公里,0,20.38万,8.26万,宋PLUS EV 2021款 旗舰型,深圳,2021年6月,自动,20.38万,比亚迪,紧凑型SUV,纯电动,纯电动 184马力,505,快充0.5小时 慢充10.2小时,电动车单速变速箱,4705x1890x1680,160,1.6,永磁/同步,磷酸铁锂电池,比亚迪
海豚 2021款 自由版,比亚迪,https://www.dongchedi.com/usedcar/17324779,郑州,2023年 , 3.66万公里,1,11.28万,6.48万,海豚 2021款 自由版,郑州,2023年2月,自动,11.28万,比亚迪,小型车,纯电动,纯电动 95马力,405,快充0.5小时 慢充6.41小时,电动车单速变速箱,4125x1770x1570,150,1.2,永磁/同步,磷酸铁锂电池,比亚迪
领克06 EM-P 2023款 PHEV Remix Pro,领克,https://www.dongchedi.com/usedcar/17177991,杭州,2023年 , 0.76万公里,0,16.28万,8.68万,领克06 EM-P 2023款 PHEV Remix Pro,杭州,2023年11月,自动,16.28万,领克,小型SUV,插电式混合动力,1.5T 177马力 L3 插电式混动,62,84,190,390,4340x1820x1625,1.2,1477,插电式混动 82马力,60
Model Y 2021款 长续航全轮驱动版 3D3/3D7,特斯拉,https://www.dongchedi.com/usedcar/17383503,杭州,2021年 , 2.50万公里,0,34.79万,17.18万,Model Y 2021款 长续航全轮驱动版 3D3/3D7,杭州,2021年5月,自动,34.79万,特斯拉中国,中型SUV,纯电动,纯电动 450马力,594,快充1小时 慢充10小时,电动车单速变速箱,4750x1921x1624,217,1655.0元,前感应/异步后永磁/同步,三元锂电池,76.8
唐DM 2021款 DM-i 1.5T 112KM 尊贵型,比亚迪,https://www.dongchedi.com/usedcar/18344070,沈阳,2022年 , 3.97万公里,0,20.98万,11.28万,唐DM 2021款 DM-i 1.5T 112KM 尊贵型,沈阳,2022年8月,自动,20.98万,比亚迪,中型SUV,插电式混合动力,1.5T 139马力 L4 插电式混动,112,快充0.5小时 慢充3小时,231,325,4870x1950x1725,5.5,1497,插电式混动 218马力,160
蔚来ES8 2023款 100kWh,蔚来,https://www.dongchedi.com/usedcar/18222298,南京,2024年 , 1.50万公里,0,55.60万,29.96万,蔚来ES8 2023款 100kWh,南京,2024年4月,自动,55.6万,蔚来,中大型SUV,纯电动,纯电动 653马力,605,605,850,电动车单速变速箱,5门6座SUV,3年或12万公里,前永磁/同步后交流/异步,三元锂电池,首任车主10年不限里程质保（责任免除条款以官方为准）
宋Pro DM 2022款 DM-i 51km 豪华型,比亚迪,https://www.dongchedi.com/usedcar/16428234,沈阳,2022年 , 5.04万公里,0,14.08万,6.98万,宋Pro DM 2022款 DM-i 51km 豪华型,沈阳,2022年8月,自动,14.08万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,51,慢充2.5小时,135,316,4650x1860x1700,1.5,1498,插电式混动 180马力,132
五菱宏光MINIEV 2021款 马卡龙臻享款 磷酸铁锂,五菱汽车,https://www.dongchedi.com/usedcar/18311067,昆明,2021年 , 4.02万公里,1,4.36万,2.18万,五菱宏光MINIEV 2021款 马卡龙臻享款 磷酸铁锂,昆明,2021年12月,自动,4.36万,上汽通用五菱,微型车,纯电动,纯电动 27马力,170,慢充9小时,电动车单速变速箱,2920x1493x1621,100,1902.0元,永磁/同步,磷酸铁锂电池,13.9
宋Pro DM 2022款 DM-i 110km 旗舰型,比亚迪,https://www.dongchedi.com/usedcar/16999006,苏州,2023年 , 2.26万公里,0,15.78万,8.51万,宋Pro DM 2022款 DM-i 110km 旗舰型,苏州,2023年1月,自动,15.78万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,110,1090,145(197Ps),135,E-CVT无级变速,7.9,1498,插电式混动 197马力,145
奔驰EQE 2022款 EQE 350 豪华版,奔驰,https://www.dongchedi.com/usedcar/18377073,广州,2023年 , 2.70万公里,0,49.60万,20.80万,奔驰EQE 2022款 EQE 350 豪华版,广州,2023年11月,自动,49.6万,北京奔驰,中大型车,纯电动,纯电动 292马力,717,717,556,电动车单速变速箱,4门5座三厢车,1.63,永磁/同步,三元锂电池,10年或25万公里
大众ID.3 2023款 升级款纯净智享版,大众,https://www.dongchedi.com/usedcar/16913485,苏州,2023年 , 0.92万公里,0,16.29万,8.86万,大众ID.3 2023款 升级款纯净智享版,苏州,2023年11月,自动,16.2888万,上汽大众,紧凑型车,纯电动,纯电动 170马力,450,450,310,电动车单速变速箱,5门5座两厢车,13.1,永磁/同步,三元锂电池,8年或16万公里
